ym,hot_nogi,hot_sisl,vhot_nogi,vhot_sisl,ehot_nogi,ehot_sisl,trop_nogi,trop_sisl,germ_nogi,germ_sisl,tmax_nogi,tmax_sisl,hot_gg,vhot_gg,ehot_gg,tmax_gg,hot_gw,vhot_gw,ehot_gw,tmax_gw,hot_gb,vhot_gb,ehot_gb,tmax_gb,hot_cn,vhot_cn,ehot_cn,tmax_cn
2019-10,0.0,0.0,0.0,0.0,0.0,0.0,0.7813425925925925,0.8149413901271257,0.0,0.0,20.82027419354839,21.285026974921045,0.0,0.0,0.0,21.27548387096774,0.0,0.0,0.0,18.861290322580643,0.0,0.0,0.0,21.129032258064516,0.0,0.0,0.0,21.259677419354837
2019-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.595928549382716,14.20367481151285,0.0,0.0,0.0,12.903333333333332,0.0,0.0,0.0,11.659333333333333,0.0,0.0,0.0,14.573333333333332,0.0,0.0,0.0,14.469166666666666
2019-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.195646804062126,6.824648793451458,0.0,0.0,0.0,5.049032258064516,0.0,0.0,0.0,4.307096774193548,0.0,0.0,0.0,7.390322580645162,0.0,0.0,0.0,7.3137096774193555
2020-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.434672640382318,6.978940814946184,0.0,0.0,0.0,6.071612903225807,0.0,0.0,0.0,4.574193548387097,0.0,0.0,0.0,7.2010752688172035,0.0,0.0,0.0,7.212903225806452
2020-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.879798212005108,8.30029410257724,0.0,0.0,0.0,7.39103448275862,0.0,0.0,0.0,5.958620689655172,0.0,0.0,0.0,9.195402298850574,0.0,0.0,0.0,8.391379310344828
2020-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.708993876941458,13.709607598779339,0.0,0.0,0.0,13.876129032258063,0.0,0.0,0.0,12.276129032258066,0.0,0.0,0.0,15.263440860215054,0.0,0.0,0.0,13.271774193548387
2020-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.00380185185185,17.065937812998737,0.0,0.0,0.0,17.438,0.0,0.0,0.0,15.316666666666666,0.0,0.0,0.0,18.65111111111111,0.0,0.0,0.0,16.628333333333334
2020-05,0.20916666666666667,0.0638930163447251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.139758811230585,23.19794900062311,0.0,0.0,0.0,23.430967741935483,0.2,0.0,0.0,22.159354838709678,1.0,0.0,0.0,24.69569892473118,0.0,0.0,0.0,22.983064516129033
2020-06,8.722083333333332,7.91948159154697,2.1585185185185183,1.7202245335974904,0.3936111111111111,0.16404160475482915,5.396111111111111,5.554168730394585,4.751990740740741,3.6993065874195143,28.195211574074072,27.972175499422153,9.2,1.6,0.4,28.614666666666665,9.6,3.0,0.4,27.886666666666667,11.666666666666666,4.333333333333333,1.0,29.346666666666664,6.75,1.5,0.0,27.502499999999998
2020-07,4.644722222222222,3.900908040283969,0.15805555555555556,0.052303120356612186,0.0,0.0,14.49851851851852,15.662407132243686,4.142083333333334,4.532722469869572,26.681783452807647,26.939179621552245,5.2,0.2,0.0,27.5341935483871,5.2,0.4,0.0,25.907096774193548,6.333333333333333,0.0,0.0,26.53548387096774,3.0,0.0,0.0,26.920967741935485
2020-08,17.14462962962963,18.403929337956082,3.6574999999999993,3.6525672775301303,0.2576851851851852,0.20534918276374445,29.2975,30.79266963843487,22.69203703703704,25.38636288591712,29.896531810035842,30.200519952920374,15.4,2.4,0.2,29.56516129032258,11.2,1.4,0.2,28.527741935483867,24.666666666666668,9.666666666666666,0.0,31.40430107526882,18.5,3.0,0.0,30.204032258064515
2020-09,0.5832407407407407,0.7897308898794783,0.0,0.0,0.0,0.0,3.471851851851852,3.864850586098729,0.9447222222222222,1.0937757965989765,24.73257114197531,25.27845154366848,0.6,0.0,0.0,25.287333333333333,0.6,0.0,0.0,22.667333333333335,0.0,0.0,0.0,25.233333333333334,1.0,0.0,0.0,25.355833333333333
2020-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.55260289725209,19.943827882428753,0.0,0.0,0.0,19.613548387096774,0.0,0.0,0.0,17.659354838709678,0.0,0.0,0.0,20.3505376344086,0.0,0.0,0.0,19.983064516129033
2020-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.238788425925925,13.63902542512795,0.0,0.0,0.0,12.738,0.0,0.0,0.0,11.504000000000001,0.0,0.0,0.0,14.14,0.0,0.0,0.0,13.719166666666666
