year,ym,month,actual,pred,method
2025,2025-10,10,7897.762139341014,9262.624434195335,q55
2025,2025-11,11,3488.7216959787406,4583.277305249767,q55
2025,2025-12,12,3536.288227656001,3247.6160647434617,q55
2020,2020-01,1,5457.007268229654,3098.1065394043835,q60
2020,2020-02,2,1887.3719771322812,3117.392325713743,q60
2020,2020-03,3,2128.2206493695803,2139.9183175551257,q60
2020,2020-04,4,1872.786298646229,2320.7271102130253,q60
2020,2020-05,5,2064.6228446720447,2576.3594192770192,q60
2020,2020-06,6,3279.012342580697,2936.9289098008567,q60
2020,2020-07,7,4978.318310098686,4120.424424087472,q60
2020,2020-08,8,8838.360149034703,5858.150290316358,q60
2020,2020-09,9,5619.295180086788,9454.238863093182,q60
2020,2020-10,10,1850.8362528978846,6204.922559625778,q60
2020,2020-11,11,1891.802704312295,3455.919542258598,q60
2020,2020-12,12,3405.9544521657504,3053.8372410551588,q60
2021,2021-01,1,4971.971829364932,3310.528284084553,q60
2021,2021-02,2,2884.4024417256596,2388.84220917375,q60
2021,2021-03,3,2487.209310970788,2169.8216136593837,q60
2021,2021-04,4,2770.3748635386487,2243.078108816841,q60
2021,2021-05,5,2839.3721514512445,2619.2440894598058,q60
2021,2021-06,6,3669.2263773169398,3171.126758094899,q60
2021,2021-07,7,4977.055254217393,4195.304092448455,q60
2021,2021-08,8,6991.9305302807,5771.606274628961,q60
2021,2021-09,9,10460.64757946111,5801.258869534184,q60
2021,2021-10,10,7891.324604968693,4440.547422755869,q60
2021,2021-11,11,3310.0003088010235,3361.9428010310353,q60
2021,2021-12,12,3159.872332558557,3001.1772527014914,q60
2022,2022-01,1,4421.075539424003,3349.8412761343566,q60
2022,2022-02,2,2395.2541250887098,2951.677300809481,q60
2022,2022-03,3,2578.482910297402,2312.177997552681,q60
2022,2022-04,4,3002.8055780281884,2438.222364912464,q60
2022,2022-05,5,2677.942836412439,2898.1444950881787,q60
2022,2022-06,6,3948.8349480423194,3388.4241833761876,q60
2022,2022-07,7,8792.50658310678,4788.227054242457,q60
2022,2022-08,8,9409.868539984273,8275.287833979806,q60
2022,2022-09,9,5194.005474892095,9181.53035644627,q60
2022,2022-10,10,3191.0285531273066,5353.976406185025,q60
2022,2022-11,11,2019.4117429570485,3734.397943786829,q60
2022,2022-12,12,5281.381163475159,3525.9886765081824,q60
2023,2023-01,1,5637.419817242143,4572.394859237908,q60
2023,2023-02,2,3864.1014337678266,3322.4835503820627,q60
2023,2023-03,3,3247.3347550611743,2365.888499664962,q60
2023,2023-04,4,2956.0400716665886,2453.619071212852,q60
2023,2023-05,5,2593.58892722053,2811.4853768566636,q60
2023,2023-06,6,3435.2640133088516,3412.6223080351556,q60
2023,2023-07,7,9958.97262643662,5365.805941388811,q60
2023,2023-08,8,6789.750961881995,10769.637763862358,q60
2023,2023-09,9,7134.070422942123,6233.446243413758,q60
2023,2023-10,10,5396.45378473103,4809.1321695592615,q60
2023,2023-11,11,3737.8953464860106,3760.8229851906303,q60
2023,2023-12,12,3183.764694039986,3543.6924462648794,q60
2024,2024-01,1,4566.930488215524,3948.1938992407577,q60
2024,2024-02,2,2857.18395087652,3287.009592671965,q60
2024,2024-03,3,3605.557850886509,2586.7286845930944,q60
2024,2024-04,4,2354.3771130985897,2718.840564771048,q60
2024,2024-05,5,2432.454660984288,2685.371868504295,q60
2024,2024-06,6,2735.6046494374705,3252.1187344102755,q60
2024,2024-07,7,6768.9798004398635,5640.2414389775695,q60
2024,2024-08,8,8280.265680714458,7812.554446880537,q60
2024,2024-09,9,13833.212743914744,8177.130020622673,q60
2024,2024-10,10,10924.003764858491,8218.923758416284,q60
2024,2024-11,11,3783.3289458904264,3964.1625734095624,q60
2024,2024-12,12,2953.1652291422224,2473.308838269126,q60
2025,2025-01,1,2729.5997918576377,3646.672601781328,q60
2025,2025-02,2,2477.8812422779765,2902.5719316791387,q60
2025,2025-03,3,2339.8628511090333,2782.0702252911947,q60
2025,2025-04,4,2448.7021792584655,2584.51075297216,q60
2025,2025-05,5,3149.438992754348,2739.8965680062374,q60
2025,2025-06,6,2655.27192378158,3351.3589928066376,q60
2025,2025-07,7,4755.754584835337,5432.761389299307,q60
