ym,county,full,sample,n_obs_full,n_obs_sample,n_days_sample
2023-11,익산시,3518.443662116677,4423.105522489259,899,67,2
2023-11,임실군,1562.4137931034484,,10,0,0
2023-11,장수군,4036.345206538497,6309.864325618516,503,31,2
2023-11,전주시,2881.144446993141,4150.461230150215,142,11,2
2023-11,정읍시,4740.606060606061,,14,0,0
2023-11,진안군,4048.4337993138174,5875.772086397059,102,4,2
2023-12,고창군,2559.5873786407765,,9,0,0
2023-12,김제시,2339.3503701965383,2142.892818119891,169,16,3
2023-12,남원시,4160.616630072483,3886.125888888889,1496,166,3
2023-12,무주군,1736.6666666666667,2200.0,6,1,1
2023-12,부안군,10000.0,,1,0,0
2023-12,순창군,2580.721856792395,2111.73727658046,122,12,3
2023-12,완주군,2371.7308105220914,2066.4546494581887,490,54,3
2023-12,익산시,3057.266440103894,2902.5798943183604,994,98,3
2023-12,임실군,2326.490280109489,1193.661971830986,10,2,2
2023-12,장수군,3953.5728182579564,2855.993735763098,226,32,3
2023-12,전주시,2128.373478599222,1578.9898209523808,116,12,2
2023-12,정읍시,7621.428571428572,,11,0,0
2023-12,진안군,3186.8642614138435,3109.1485507246375,41,8,3
2024-01,고창군,3592.2916666666665,3605.978260869565,6,3,2
2024-01,김제시,4233.755205568804,4132.753273529412,214,24,3
2024-01,남원시,5218.085706159147,5170.78579418042,1444,164,3
2024-01,부안군,1585.5263157894738,,2,0,0
2024-01,순창군,4177.63761398069,4411.9544529847835,178,17,3
2024-01,완주군,3515.7570721835637,3546.35721998606,521,57,3
2024-01,익산시,4748.8464756932835,5001.002910440509,946,119,3
2024-01,임실군,3875.0,,1,0,0
2024-01,장수군,5397.831441702614,5486.632227532097,182,27,3
2024-01,전주시,3713.6608004608015,4065.1291214057514,150,15,3
2024-01,정읍시,4553.008849557522,2275.862068965517,13,2,1
2024-01,진안군,3946.1004273504273,4453.935185185185,32,6,3
2024-02,고창군,1952.2598870056497,,13,0,0
2024-02,김제시,2486.62084908697,2486.415238636364,217,20,2
2024-02,남원시,3373.323167175109,3869.320820716886,1288,116,2
2024-02,무주군,1763.7096774193549,,2,0,0
